part,qtyPerBox,client,machine,labelFormat
900-6156,100000,Thomson Fasteners,,
900-6174,2500,Thompson Fasteners,,
90155-03,2000,R&R Rivet,,
90280051,4000,Infasco,,
91054,1700,INFASCO,,
91054CH,1700,INFASCO,,
91058,1200,Infasco,,
9132268,2400,Infasco,,
91868,1250,Infasco,,
92468,1000,Infasco,,
94012038,4000,Infasco,,
94012039,2500,Infasco,,
94012078,100,Infasco,,
94012150,325,Infasco,,
94728804,1100,Infasco,,
98055704,4000,Infasco,,
99704753158AA,10000,Focus Machine,,
99704753159AA,10000,Focus Machine,,
99724260265,5000,New Cornerstone Trading,,
9L8P-7G215-DA,2000,Freeway Washer,,
A-0173B,350,jeyco,,
A4495AB,775,INFASCO,,
A5740-G5-JSPR,2000,CMI,,
A6459-BM-98,1500,CMI,,
A7460-1,650,CMI,,
A7460-2,500,CMI,,
A8155,2500,CMI,,
A8437,4000,cmi,,
A8489,5000,CMI,,
A8503,1300,CMI,,
A8615,3000,CMI,,
A8685,2000,CMI,,
A8691,1200,CMI,,
A8695-1,150,CMI,,
A8712,800,CMI,,
AA0191-P003AH,300,Focus Machine,,
AA0191-P004AF,300,Focus Machine,,
AA0516-P162AA,10000,Focus Machine,,
AA1153-P311AA,144,GLOBLE POINT,,
ACLCMGY0500C,850,Infasco,,
ANM-12TOPLOK--%3,650,Infasco,,
AS1503058-1,3000,Infasco,,
B1300AC-RB,225,Infasco,,
B2FI0008AAF00,2000,Magnum 2000,,
BL0000423,1000,Magnum 2000,,
BL3W-4320-BA,220,INFASCO,,
BO4044-00,350,Infasco,,
BUS814722-1,400,SIRIUS,,
BUS814723-1,490,SIRIUS,,
C51017,800,Infasco,,
C5183,1200,Infasco,,
C8SZ-6A529A,1100,Infasco,,
CAMS1034CA-040PAK,528,Commecial Spring,,
CAMS1035CA-040PAK,528,Commecial Spring,,
CN-M8-1.25X270,2000,Algood Caster,,
CY5011-A1,1900,Infasco,,
D-0346B,2000,jeyco,,
D-0349C,500,jeyco,,
D-0424A,3000,jeyco,,
D-0438B,1500,jeyco,,
D-0516C,750,JEYCO,,
DIN6921,1800,Infasco,,
E11273,300,Magnum 2000,,
E12538,2150,Infasco,,
E12540,3500,Infasco,,
E4074210,1700,Infasco,,
E6267AA,525,Infasco,,
E6267AB,525,Infasco,,
F1302AB,700,INFASCO,,
FD3054-4,1000,PENN Engineered Fasteners Corp.,,
FE11065,5000,S & E MANUFACTURING,,
FE1140H,5000,S & E MANUFACTURING,,
FE11466,5000,S & E MANUFACTURING,,
FE140696,5000,S & E MANUFACTURING,,
FE140699,5000,S & E MANUFACTURING,,
FE5016,2000,MSB,,
FE5097-CA,1400,Infasco,,
FSN035,250,PREMIER,,
FU7J3B477AA,150,Infasco,,
G19242B060,3800,Infasco,,
G19242B080,2300,Infasco,,
G5030AC,1800,Infasco,,
G5100AA,1050,Infasco,,
G51017,800,Infasco,,
GAPN4654-14,1500,PENN Engineered Fasteners Corp.,,
GM1622-3,3000,PENN Engineered Fasteners Corp.,,
GMP7773AA,3100,INFASCO,,
H62324,1200,,,
H62324A,1200,Infasco,,
H62324AA,1200,Infasco,,
H62534A,750,,,
HBB-075,450,Magnum 2000,,
HBE-090,450,Magnum 2000,,
HILE1067EA,2500,Precision Fasteners,,
HL3P-7G163-AA,200,Magnum 2000,,
HL3W-4320-AA,200,INFASCO,,
HL3W-4320-AA-ST8,200,INFASCO,,
IF4JZ0-00,250,Infasco,,
JOHN1037AA-020SRE,4000,commercial spring,,
K1018AD,200,FORMNET INC.,,
K1046AB,1600,Infasco,,
K15H4048-2H8,3000,LeLand Industries Inc.,,
KEYK1048BA,65,commercial spring,,
KEYK1049BA,65,commercial spring,,
KIT 02520062Z,1000,Accurate Fasteners,,
KIT 02520075Z,1000,Accurate Fasteners,,
KIT 02520250,1000,ACCURATE FASTENERS,,
KIT C72011,600,Accurate Fasteners,,
KIT E030106,1000,Accurate Fasteners,,
L0668498AA01,4000,Infasco,,
L0668498AA02,4000,INFASCO,,
LIM815281,3500,SIRUS,,
LIM815504,3500,SIRUS,,
LX6A-62428-BD-58502,1100,Infasco,,
