po,partNo,traveler,pot,description,box,quantity,invDate,ps,notes
191340,NU1405-00,713533,51,,,68970,2026-07-24 18:00:00,29889,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=tổng SELECT; ngày ƯỚC TÍNH (theo số PS)
192701,H62324A,713536,1752,,,39600,2026-08-02 18:00:00,29927,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=tổng SELECT; ngày ƯỚC TÍNH (theo số PS)
192701,H62324A,713537,1753,,,44925,2026-08-03 18:00:00,29932,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=PIECES; ngày lấy từ dòng khác cùng PS
192701,W520113-S441,713538,480,,,37800,2026-08-02 18:00:00,29927,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=tổng SELECT; ngày ƯỚC TÍNH (theo số PS)
192701,W520113-S441,713539,968,,,37800,2026-08-02 18:00:00,29929,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=tổng SELECT; ngày ƯỚC TÍNH (theo số PS)
192701,W520113-S441,713541,1607,,,37800,2026-08-02 18:00:00,29929,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=tổng SELECT; ngày ƯỚC TÍNH (theo số PS)
192613,W520113-S440,713542,1036,,,42000,2026-07-31 18:00:00,29919,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=tổng SELECT; ngày ƯỚC TÍNH (theo số PS)
192613,W520113-S440,713543,509,,,37800,2026-07-29 18:00:00,29909,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=tổng SELECT; ngày ƯỚC TÍNH (theo số PS)
192613,W520113-S440,713544,1328,,,48300,2026-07-31 18:00:00,29919,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=tổng SELECT; ngày ƯỚC TÍNH (theo số PS)
192613,W520113-S440,713545,1672,,,37800,2026-08-04 18:00:00,29936,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=tổng SELECT; ngày lấy từ dòng khác cùng PS
192629,11549169,713546,1549,,,23760,2026-07-30 18:00:00,29913,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=tổng SELECT; ngày ƯỚC TÍNH (theo số PS)
192629,11549169,713547,1428,,,23760,2026-07-30 18:00:00,29913,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=tổng SELECT; ngày ƯỚC TÍNH (theo số PS)
192629,11549169,713548,49,,,23760,2026-07-30 18:00:00,29915,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=tổng SELECT; ngày ƯỚC TÍNH (theo số PS)
192629,11549169,713549,972,,,23760,2026-08-04 18:00:00,29936,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=tổng SELECT; ngày lấy từ dòng khác cùng PS
191380,NU1144,713550,297,,,25605,2026-07-18 18:00:00,29862,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=PIECES; ngày ƯỚC TÍNH (theo số PS)
191380,NU1144,713551,445,,,23333,2026-07-18 18:00:00,29862,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=PIECES; ngày ƯỚC TÍNH (theo số PS)
191340,P3001150,713560,309,,,39838,2026-07-17 18:00:00,29854,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=PIECES; ngày ƯỚC TÍNH (theo số PS)
191340,P3001150,713561,554,,,58649,2026-07-17 18:00:00,29854,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=PIECES; ngày ƯỚC TÍNH (theo số PS)
192613,W20-1028-020SL,713568,905,,,7467,2026-08-01 18:00:00,29922,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=PIECES; ngày ƯỚC TÍNH (theo số PS)
192613,W20-1028-020SL,713569,416,,,7621,2026-08-01 18:00:00,29922,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=PIECES; ngày ƯỚC TÍNH (theo số PS)
192613,W20-1028-020SL,713570,175,,,6955,2026-08-01 18:00:00,29922,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=PIECES; ngày ƯỚC TÍNH (theo số PS)
192613,W20-1028-020SL,713571,817,,,8163,2026-08-01 18:00:00,29922,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=PIECES; ngày ƯỚC TÍNH (theo số PS)
192613,W20-1028-020SL,713572,1351,,,7899,2026-07-29 18:00:00,29909,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=PIECES; ngày ƯỚC TÍNH (theo số PS)
192613,W20-1028-020SL,713573,585,,,7028,2026-08-01 18:00:00,29922,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=PIECES; ngày ƯỚC TÍNH (theo số PS)
192613,W20-1028-020SL,713574,344,,,7789,2026-08-01 18:00:00,29922,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=PIECES; ngày ƯỚC TÍNH (theo số PS)
192613,W20-1028-020SL,713575,707,,,7174,2026-08-01 18:00:00,29922,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=PIECES; ngày ƯỚC TÍNH (theo số PS)
192613,W20-1028-020SL,713576,1304,,,8272,2026-07-29 18:00:00,29909,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=PIECES; ngày ƯỚC TÍNH (theo số PS)
192613,W20-1028-020SL,713578,1423,,,6750,2026-08-01 18:00:00,29922,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=PIECES; ngày ƯỚC TÍNH (theo số PS)
192613,W20-1028-020SL,713580,498,,,8001,2026-08-01 18:00:00,29922,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=PIECES; ngày ƯỚC TÍNH (theo số PS)
192613,W20-1028-020SL,713581,792,,,6903,2026-08-01 18:00:00,29922,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=PIECES; ngày ƯỚC TÍNH (theo số PS)
191397,11546545,713592,101,,,90000,2026-07-30 18:00:00,29915,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=tổng SELECT; ngày ƯỚC TÍNH (theo số PS)
